Timestamp,PERCLOS,,Seconds,PERCLOS
1,0,,1,0
2,0,,2,0
3,0,,3,0
4,0.001,,4,0.001
5,0.003,,5,0.003
6,0.003,,6,0.003
7,0.019,,7,0.019
8,0.011,,8,0.011
9,0.023,,9,0.023
10,0.038,,10,0.038
11,0.081,,11,0.081
12,0.117,,12,0.117
13,0.13,,13,0.13
14,0.151,,14,0.151
15,0.167,,15,0.167
16,0.188,,16,0.188
17,0.202,,17,0.202
18,0.222,,18,0.222
19,0.239,,19,0.239
20,0.254,,20,0.254
21,0.26,,21,0.26
22,0.289,,22,0.289
23,0.289,,23,0.289
24,0.325,,24,0.325
25,0.342,,25,0.342
26,0.366,,26,0.366
27,0.376,,27,0.376
28,0.395,,28,0.395
29,0.412,,29,0.412
30,0.415,,30,0.415
32,0.447,,31,
33,0.465,,32,0.447
34,0.489,,33,0.465
35,0.507,,34,0.489
36,0.496,,35,0.507
37,0.542,,36,0.496
38,0.541,,37,0.542
39,0.568,,38,0.541
40,0.566,,39,0.568
41,0.609,,40,0.566
42,0.578,,41,0.609
43,0.647,,42,0.578
44,0.668,,43,0.647
45,0.661,,44,0.668
46,0.652,,45,0.661
47,0.652,,46,0.652
48,0.723,,47,0.652
49,0.645,,48,0.723
50,0.539,,49,0.645
51,0.006,,50,0.539
52,0.005,,51,0.006
53,0.012,,52,0.005
54,0.011,,53,0.012
55,0.012,,54,0.011
56,0.03,,55,0.012
57,0.046,,56,0.03
58,0.066,,57,0.046
59,0.084,,58,0.066
60,0.101,,59,0.084
62,0.116,,60,0.101
63,0.136,,61,
64,0.155,,62,0.116
65,0.172,,63,0.136
66,0.188,,64,0.155
67,0.202,,65,0.172
68,0.223,,66,0.188
69,0.244,,67,0.202
70,0.261,,68,0.223
71,0.275,,69,0.244
72,0.296,,70,0.261
73,0.314,,71,0.275
74,0.322,,72,0.296
75,0.34,,73,0.314
76,0.352,,74,0.322
77,0.366,,75,0.34
78,0.402,,76,0.352
79,0.424,,77,0.366
80,0.424,,78,0.402
81,0.457,,79,0.424
82,0.448,,80,0.424
83,0.483,,81,0.457
84,0.476,,82,0.448
86,0.52,,83,0.483
87,0.529,,84,0.476
88,0.565,,85,
89,0.581,,86,0.52
90,0.574,,87,0.529
91,0.607,,88,0.565
92,0.622,,89,0.581
93,0.651,,90,0.574
94,0.666,,91,0.607
95,0.687,,92,0.622
96,0.696,,93,0.651
97,0.725,,94,0.666
98,0.737,,95,0.687
99,0.743,,96,0.696
100,0.775,,97,0.725
101,0.783,,98,0.737
102,0.797,,99,0.743
103,0.815,,100,0.775
104,0.831,,101,0.783
105,0.864,,102,0.797
106,0.863,,103,0.815
107,0.846,,104,0.831
109,0.918,,105,0.864
110,0.933,,106,0.863
111,0.94,,107,0.846
112,0.969,,108,
113,0.942,,109,0.918
114,0.976,,110,0.933
115,1.01,,111,0.94
116,0.977,,112,0.969
117,1.04,,113,0.942
118,1.058,,114,0.976
119,1.082,,115,1.01
120,1.092,,116,0.977
121,1.071,,117,1.04
122,1.132,,118,1.058
123,1.15,,119,1.082
124,1.167,,120,1.092
125,1.182,,121,1.071
126,1.222,,122,1.132
127,1.226,,123,1.15
128,1.235,,124,1.167
129,1.255,,125,1.182
130,1.251,,126,1.222
131,1.285,,127,1.226
133,1.306,,128,1.235
134,1.304,,129,1.255
135,1.362,,130,1.251
136,1.361,,131,1.285
137,1.371,,132,
138,1.395,,133,1.306
139,1.373,,134,1.304
140,1.426,,135,1.362
141,1.47,,136,1.361
142,1.478,,137,1.371
143,1.497,,138,1.395
144,1.446,,139,1.373
145,1.515,,140,1.426
146,1.534,,141,1.47
147,1.572,,142,1.478
148,1.597,,143,1.497
149,1.61,,144,1.446
150,1.617,,145,1.515
151,1.62,,146,1.534
152,1.662,,147,1.572
153,1.558,,148,1.597
154,1.64,,149,1.61
155,0.114,,150,1.617
156,0.023,,151,1.62
157,0.041,,152,1.662
159,0.059,,153,1.558
160,0.077,,154,1.64
161,0.095,,155,0.114
162,0.112,,156,0.023
163,0.128,,157,0.041
164,0.148,,158,
165,0.165,,159,0.059
166,0.177,,160,0.077
167,0.2,,161,0.095
168,0.215,,162,0.112
169,0.235,,163,0.128
170,0.249,,164,0.148
171,0.26,,165,0.165
172,0.285,,166,0.177
173,0.298,,167,0.2
174,0.315,,168,0.215
175,0.337,,169,0.235
176,0.348,,170,0.249
177,0.371,,171,0.26
178,0.18,,172,0.285
179,0.012,,173,0.298
180,0.014,,174,0.315
181,0.032,,175,0.337
183,0.049,,176,0.348
184,0.027,,177,0.371
185,0.007,,178,0.18
186,0.021,,179,0.012
187,0.038,,180,0.014
188,0.055,,181,0.032
189,0.074,,182,
190,0.091,,183,0.049
191,0.106,,184,0.027
192,0.125,,185,0.007
193,0.142,,186,0.021
194,0.162,,187,0.038
195,0.174,,188,0.055
196,0.188,,189,0.074
197,0.211,,190,0.091
198,0.233,,191,0.106
199,0.246,,192,0.125
200,0.268,,193,0.142
201,0.271,,194,0.162
202,0.303,,195,0.174
203,0.315,,196,0.188
204,0.333,,197,0.211
205,0.356,,198,0.233
207,0.368,,199,0.246
208,0.378,,200,0.268
209,0.408,,201,0.271
210,0.42,,202,0.303
211,0.433,,203,0.315
212,0.419,,204,0.333
213,0.418,,205,0.356
214,0.46,,206,
215,0.509,,207,0.368
216,0.529,,208,0.378
217,0.547,,209,0.408
218,0.553,,210,0.42
219,0.582,,211,0.433
220,0.605,,212,0.419
221,0.614,,213,0.418
222,0.631,,214,0.46
223,0.649,,215,0.509
224,0.647,,216,0.529
225,0.674,,217,0.547
226,0.696,,218,0.553
227,0.731,,219,0.582
228,0.738,,220,0.605
229,0.765,,221,0.614
230,0.782,,222,0.631
231,0.78,,223,0.649
233,0.817,,224,0.647
234,0.812,,225,0.674
235,0.829,,226,0.696
236,0.869,,227,0.731
237,0.889,,228,0.738
238,0.892,,229,0.765
239,0.923,,230,0.782
240,0.941,,231,0.78
241,0.933,,232,
242,0.977,,233,0.817
243,0.942,,234,0.812
244,0.999,,235,0.829
245,0.997,,236,0.869
246,0.915,,237,0.889
247,0.984,,238,0.892
248,1.089,,239,0.923
249,1.071,,240,0.941
250,1.106,,241,0.933
251,1.086,,242,0.977
252,1.141,,243,0.942
253,1.159,,244,0.999
254,1.162,,245,0.997
255,1.214,,246,0.915
257,1.223,,247,0.984
258,1.227,,248,1.089
259,1.266,,249,1.071
260,1.283,,250,1.106
261,1.238,,251,1.086
262,1.317,,252,1.141
263,1.337,,253,1.159
264,1.293,,254,1.162
265,1.353,,255,1.214
266,1.37,,256,
267,1.407,,257,1.223
268,1.423,,258,1.227
269,1.418,,259,1.266
270,1.447,,260,1.283
271,1.434,,261,1.238
272,1.47,,262,1.317
273,1.429,,263,1.337
274,1.495,,264,1.293
275,1.544,,265,1.353
276,1.521,,266,1.37
277,1.582,,267,1.407
278,1.578,,268,1.423
280,1.62,,269,1.418
281,1.588,,270,1.447
282,1.604,,271,1.434
283,1.671,,272,1.47
284,1.664,,273,1.429
285,1.699,,274,1.495
286,1.674,,275,1.544
287,1.717,,276,1.521
288,1.738,,277,1.582
